time,event_type,details
3.6369999999997105,PACKET_SEND,"Packet(seq=94, size=1500, flow=1)"
3.687200000000003,CWND_UPDATE,15
3.687999999999705,PACKET_SEND,"Packet(seq=95, size=1500, flow=1)"
3.738400000000003,CWND_UPDATE,16
3.7389999999996992,PACKET_SEND,"Packet(seq=96, size=1500, flow=1)"
3.789600000000003,CWND_UPDATE,17
3.7899999999996936,PACKET_SEND,"Packet(seq=97, size=1500, flow=1)"
3.8408000000000033,CWND_UPDATE,18
3.840999999999688,PACKET_SEND,"Packet(seq=98, size=1500, flow=1)"
3.8920000000000035,CWND_UPDATE,19
3.8929999999996823,PACKET_SEND,"Packet(seq=99, size=1500, flow=1)"
3.9432000000000036,CWND_UPDATE,20
3.9439999999996767,PACKET_SEND,"Packet(seq=100, size=1500, flow=1)"
3.9944000000000037,CWND_UPDATE,21
3.994999999999671,PACKET_SEND,"Packet(seq=101, size=1500, flow=1)"
4.0,TIMEOUT,"{'new_ssthresh': 10, 'new_cwnd': 1}"
4.000999999999671,PACKET_SEND,"Packet(seq=102, size=1500, flow=1)"
4.000999999999671,RANDOM,"Packet(seq=102, size=1500, flow=1)"
4.045600000000004,CWND_UPDATE,2
4.045999999999686,PACKET_SEND,"Packet(seq=103, size=1500, flow=1)"
4.0968000000000035,CWND_UPDATE,3
4.096999999999703,PACKET_SEND,"Packet(seq=104, size=1500, flow=1)"
4.148000000000003,CWND_UPDATE,4
4.14899999999972,PACKET_SEND,"Packet(seq=105, size=1500, flow=1)"
4.199200000000003,CWND_UPDATE,5
4.199999999999737,PACKET_SEND,"Packet(seq=106, size=1500, flow=1)"
4.250400000000003,CWND_UPDATE,6
4.250999999999754,PACKET_SEND,"Packet(seq=107, size=1500, flow=1)"
4.301600000000002,CWND_UPDATE,7
4.301999999999771,PACKET_SEND,"Packet(seq=108, size=1500, flow=1)"
4.352800000000002,CWND_UPDATE,8
4.352999999999788,PACKET_SEND,"Packet(seq=109, size=1500, flow=1)"
4.404000000000002,CWND_UPDATE,9
4.404999999999806,PACKET_SEND,"Packet(seq=110, size=1500, flow=1)"
4.455200000000001,CWND_UPDATE,10
4.455999999999823,PACKET_SEND,"Packet(seq=111, size=1500, flow=1)"
4.506400000000001,CWND_UPDATE,11
4.50699999999984,PACKET_SEND,"Packet(seq=112, size=1500, flow=1)"
4.557600000000001,CWND_UPDATE,12
4.557999999999857,PACKET_SEND,"Packet(seq=113, size=1500, flow=1)"
4.6088000000000005,CWND_UPDATE,13
4.608999999999874,PACKET_SEND,"Packet(seq=114, size=1500, flow=1)"
4.66,CWND_UPDATE,14
4.660999999999891,PACKET_SEND,"Packet(seq=115, size=1500, flow=1)"
4.7112,CWND_UPDATE,15
4.711999999999908,PACKET_SEND,"Packet(seq=116, size=1500, flow=1)"
4.7623999999999995,CWND_UPDATE,16
4.762999999999925,PACKET_SEND,"Packet(seq=117, size=1500, flow=1)"
4.813599999999999,CWND_UPDATE,17
4.813999999999942,PACKET_SEND,"Packet(seq=118, size=1500, flow=1)"
4.864799999999999,CWND_UPDATE,18
4.864999999999959,PACKET_SEND,"Packet(seq=119, size=1500, flow=1)"
4.915999999999999,CWND_UPDATE,19
4.916999999999977,PACKET_SEND,"Packet(seq=120, size=1500, flow=1)"
4.967199999999998,CWND_UPDATE,20
4.967999999999994,PACKET_SEND,"Packet(seq=121, size=1500, flow=1)"
5.0,TIMEOUT,"{'new_ssthresh': 10, 'new_cwnd': 1}"
5.000000000000004,PACKET_SEND,"Packet(seq=122, size=1500, flow=1)"
5.018399999999998,CWND_UPDATE,2
5.019000000000011,PACKET_SEND,"Packet(seq=123, size=1500, flow=1)"
5.069599999999998,CWND_UPDATE,3
5.070000000000028,PACKET_SEND,"Packet(seq=124, size=1500, flow=1)"
5.120799999999997,CWND_UPDATE,4
5.121000000000045,PACKET_SEND,"Packet(seq=125, size=1500, flow=1)"
