2025-12-01 01:25:56,647 - INFO - Logger initialized
2025-12-01 01:25:56,657 - INFO - Logger initialized
2025-12-01 01:25:56,657 - INFO - Logger initialized
2025-12-01 01:25:56,722 - DEBUG - Recorded event: time=0.37000000000000016, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F235F0>
2025-12-01 01:25:56,722 - DEBUG - Recorded event: time=0.37000000000000016, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F235F0>
2025-12-01 01:25:56,723 - DEBUG - Recorded event: time=0.3900000000000002, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F23650>
2025-12-01 01:25:56,723 - DEBUG - Recorded event: time=0.3900000000000002, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F23650>
2025-12-01 01:25:56,723 - DEBUG - Recorded event: time=0.4000000000000002, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F23590>
2025-12-01 01:25:56,723 - DEBUG - Recorded event: time=0.4000000000000002, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F23590>
2025-12-01 01:25:56,723 - DEBUG - Recorded event: time=0.4100000000000002, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F236B0>
2025-12-01 01:25:56,723 - DEBUG - Recorded event: time=0.4100000000000002, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F236B0>
2025-12-01 01:25:56,723 - DEBUG - Recorded event: time=0.4300000000000002, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F23770>
2025-12-01 01:25:56,723 - DEBUG - Recorded event: time=0.4300000000000002, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F23770>
2025-12-01 01:25:56,724 - DEBUG - Recorded event: time=0.45000000000000023, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F23830>
2025-12-01 01:25:56,724 - DEBUG - Recorded event: time=0.45000000000000023, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F23830>
2025-12-01 01:25:56,724 - DEBUG - Recorded event: time=0.46000000000000024, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F237D0>
2025-12-01 01:25:56,724 - DEBUG - Recorded event: time=0.46000000000000024, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F237D0>
2025-12-01 01:25:56,724 - DEBUG - Recorded event: time=0.47000000000000025, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F23890>
2025-12-01 01:25:56,724 - DEBUG - Recorded event: time=0.47000000000000025, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F23890>
2025-12-01 01:25:56,724 - DEBUG - Recorded event: time=0.5400000000000003, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F238F0>
2025-12-01 01:25:56,724 - DEBUG - Recorded event: time=0.5400000000000003, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F238F0>
2025-12-01 01:25:56,724 - DEBUG - Recorded event: time=0.5500000000000003, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F239B0>
2025-12-01 01:25:56,724 - DEBUG - Recorded event: time=0.5500000000000003, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F239B0>
2025-12-01 01:25:56,724 - DEBUG - Recorded event: time=0.5900000000000003, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F23A70>
2025-12-01 01:25:56,724 - DEBUG - Recorded event: time=0.5900000000000003, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F23A70>
2025-12-01 01:25:56,724 - DEBUG - Recorded event: time=0.6000000000000003, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F23A10>
2025-12-01 01:25:56,724 - DEBUG - Recorded event: time=0.6000000000000003, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F23A10>
2025-12-01 01:25:56,725 - DEBUG - Recorded event: time=0.6200000000000003, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F23B30>
2025-12-01 01:25:56,725 - DEBUG - Recorded event: time=0.6200000000000003, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F23B30>
2025-12-01 01:25:56,725 - DEBUG - Recorded event: time=0.6300000000000003, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F23B90>
2025-12-01 01:25:56,725 - DEBUG - Recorded event: time=0.6300000000000003, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F23B90>
2025-12-01 01:25:56,725 - DEBUG - Recorded event: time=0.6800000000000004, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F23BF0>
2025-12-01 01:25:56,725 - DEBUG - Recorded event: time=0.6800000000000004, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F23BF0>
2025-12-01 01:25:56,725 - DEBUG - Recorded event: time=0.6900000000000004, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F23C50>
2025-12-01 01:25:56,725 - DEBUG - Recorded event: time=0.6900000000000004, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F23C50>
2025-12-01 01:25:56,725 - DEBUG - Recorded event: time=0.7300000000000004, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F23D70>
2025-12-01 01:25:56,725 - DEBUG - Recorded event: time=0.7300000000000004, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F23D70>
2025-12-01 01:25:56,725 - DEBUG - Recorded event: time=0.7700000000000005, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F23DD0>
2025-12-01 01:25:56,725 - DEBUG - Recorded event: time=0.7700000000000005, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F23DD0>
